Scene,Vehicle Pair,Time Interval,Interaction Type,Q_i_Over_Time,Multi-Vehicle Group,E_Veh
waymo_train/scene_61,0;4,0.7-8.2,Car-follow,,,"0:0.5345,4:0.3887"
waymo_train/scene_61,0;5,1.1-7.7,Car-follow,,,"0:0.5345,5:0.2724"
waymo_train/scene_61,0;7,1.2-7.8,Car-follow,,,"0:0.5345,7:0.2755"
waymo_train/scene_61,0;10,0.9-8.4,Car-follow,,,"0:0.5345,10:0.0308"
waymo_train/scene_61,0;ego,0.1-9.0,Car-follow,,,"0:0.5345,ego:0.9227"
waymo_train/scene_61,4;7,0.5-8.8,Car-follow,,,"4:0.3887,7:0.2755"
waymo_train/scene_61,4;10,2.5-7.1,Car-follow,,,"10:0.0308,4:0.3887"
waymo_train/scene_61,4;17,1.2-1.6,Car-follow,,,"17:1.0000,4:0.3887"
waymo_train/scene_61,4;24,2.5-7.8,Car-follow,,,"24:0.1891,4:0.3887"
waymo_train/scene_61,4;25,2.7-6.4,Car-follow,,,"25:0.0207,4:0.3887"
waymo_train/scene_61,4;ego,0.8-8.2,Car-follow,,,"4:0.3887,ego:0.9227"
waymo_train/scene_61,5;10,0.1-8.4,Car-follow,,,"10:0.0308,5:0.2724"
waymo_train/scene_61,5;36,3.5-7.1,Car-follow,,,"36:0.0000,5:0.2724"
waymo_train/scene_61,5;ego,1.0-7.8,Car-follow,,,"5:0.2724,ego:0.9227"
waymo_train/scene_61,7;17,0.7-1.0,Car-follow,,,"17:1.0000,7:0.2755"
waymo_train/scene_61,7;24,2.0-8.3,Car-follow,,,"24:0.1891,7:0.2755"
waymo_train/scene_61,7;25,2.2-6.1,Car-follow,,,"25:0.0207,7:0.2755"
waymo_train/scene_61,7;ego,1.5-7.7,Car-follow,,,"7:0.2755,ego:0.9227"
waymo_train/scene_61,10;ego,0.7-8.4,Car-follow,,,"10:0.0308,ego:0.9227"
waymo_train/scene_61,24;25,1.2-5.1,Car-follow,,,"24:0.1891,25:0.0207"
waymo_train/scene_61,40;41,7.8-8.9,Car-follow,,,"40:0.2651,41:0.1925"
